state,nces_id,district,students
AR,0510920,OMAHA SCHOOL DISTRICT,7
GA,1300253,State Charter Schools II- Spring Creek Charter Academy,7
GA,1300660,Burke County,7
GA,1303120,Johnson County,7
MS,2803210,NORTH PANOLA SCHOOL DISTRICT,7
MS,2803810,QUITMAN CO SCHOOL DIST,7
MS,2804770,YAZOO CITY MUNICIPAL SCHOOL DIST,7
MO,2903150,ARCADIA VALLEY R-II,7
MO,2908170,CASSVILLE R-IV,7
OK,4002460,ADAIR,7
OK,4003570,BARNSDALL,7
OK,4006270,CALVIN,7
OK,4015480,INOLA,7
OK,4018570,LUKFATA,7
OK,4023340,PADEN,7
OK,4029310,SWEETWATER,7
TN,4702490,Lincoln County,7
TX,4813890,CHILLICOTHE ISD,7
TX,4814760,COMANCHE ISD,7
TX,4814880,COMO-PICKTON CISD,7
TX,4818390,ELKHART ISD,7
TX,4820070,FRUITVALE ISD,7
TX,4830180,MEMPHIS ISD,7
TX,4832730,NEWTON ISD,7
TX,4832970,NORTH HOPKINS ISD,7
TX,4833630,OLNEY ISD,7
TX,4836180,QUANAH ISD,7
TX,4845420,WHEELER ISD,7
AL,0101380,Etowah County,6
AL,0103000,Sheffield City,6
AR,0502280,ALPENA SCHOOL DISTRICT,6
AR,0503640,BROOKLAND SCHOOL DISTRICT,6
AR,0504170,WHITE CO. CENTRAL SCHOOL DIST.,6
AR,0505170,DERMOTT SCHOOL DISTRICT,6
AR,0507620,HECTOR SCHOOL DISTRICT,6
AR,0507860,HORATIO SCHOOL DISTRICT,6
GA,1304050,Peach County,6
MS,2804440,WALTHALL CO SCHOOL DIST,6
OK,4005580,BRUSHY,6
OK,4006420,CANEY,6
OK,4008130,COALGATE,6
OK,4012750,GLOVER,6
OK,4013830,HARMONY,6
OK,4018240,LONE STAR,6
OK,4024240,PLAINVIEW,6
OK,4031980,WAURIKA,6
TN,4704260,Union City,6
TX,4800141,RISE ACADEMY,6
TX,4809390,BANGS ISD,6
TX,4811430,BROADDUS ISD,6
TX,4816180,DAINGERFIELD-LONE STAR ISD,6
TX,4817830,EAST BERNARD ISD,6
TX,4820700,GILMER ISD,6
TX,4821090,GOODRICH ISD,6
TX,4827390,LIBERTY-EYLAU ISD,6
TX,4837200,RIO VISTA ISD,6
TX,4839780,SEYMOUR ISD,6
TX,4840290,SILVERTON ISD,6
TX,4845570,WHITEFACE CISD,6
AL,0101290,Elmore County,5
AL,0102730,Pickens County,5
AR,0500026,PINE BLUFF SCHOOL DISTRICT,5
AR,0502820,BAY SCHOOL DISTRICT,5
AR,0507320,HARMONY GROVE SCHOOL DISTRICT,5
AR,0509150,MAGAZINE SCHOOL DISTRICT,5
AR,0511370,PIGGOTT SCHOOL DISTRICT,5
AR,0512510,SMACKOVER-NORPHLET SCHOOL DISTRICT,5
AR,0512570,SOUTH SIDE SCHOOL DISTRICT,5
GA,1302070,Evans County,5
GA,1305370,Walker County,5
MS,2803270,NORTH TIPPAH SCHOOL DIST,5
MS,2803690,PONTOTOC CITY SCHOOLS,5
MO,2913800,HAYTI R-II,5
MO,2921540,MOUNTAIN VIEW-BIRCH TREE R-III,5
MO,2928710,SOUTHWEST R-V,5
MO,2931680,WEST PLAINS R-VII,5
OK,4003930,BENNINGTON,5
OK,4008490,COMMERCE,5
OK,4015210,HUGO,5
OK,4024870,POTEAU,5
OK,4031140,VIAN,5
TN,4702550,Macon County,5
TN,4703750,Sequatchie County,5
TN,4704050,Sweetwater,5
TX,4808190,ANAHUAC ISD,5
TX,4813920,CHILTON ISD,5
TX,4815300,CORRIGAN-CAMDEN ISD,5
TX,4815840,CROSS ROADS ISD,5
TX,4816890,DETROIT ISD,5
TX,4817960,EASTLAND ISD,5
TX,4826220,LAPOYNOR ISD,5
TX,4829700,MCCAMEY ISD,5
TX,4833390,O'DONNELL ISD,5
TX,4835850,PRINCETON ISD,5
TX,4838430,SABINAL ISD,5
TX,4841670,STRATFORD ISD,5
TX,4843290,WESTWOOD ISD,5
TX,4845950,WILLS POINT ISD,5
AL,0100600,Chambers County,4
AL,0101720,Haleyville City,4
AL,0103390,Tuscaloosa County,4
AR,0500015,SHERIDAN SCHOOL DISTRICT,4
AR,0500016,MARMADUKE SCHOOL DISTRICT,4
AR,0502250,ALMA SCHOOL DISTRICT,4
AR,0509330,MANSFIELD SCHOOL DISTRICT,4
AR,0509720,MELBOURNE SCHOOL DISTRICT,4
AR,0510170,MOUNTAIN PINE SCHOOL DISTRICT,4
AR,0510260,MOUNTAINBURG SCHOOL DISTRICT,4
GA,1300090,Atkinson County,4
GA,1301590,Dade County,4
GA,1304980,Tift County,4
GA,1305550,Wayne County,4
LA,2201830,Vernon Parish,4
MI,2635220,Warren Woods Public Schools,4
MS,2801490,FORREST COUNTY SCHOOL DISTRICT,4
MS,2802100,ITAWAMBA COUNTY SCHOOL DIST,4
MS,2803780,QUITMAN SCHOOL DIST,4
MS,2804680,WESTERN LINE SCHOOL DISTRICT,4
MO,2913260,GREEN FOREST R-II,4
MO,2921420,SCOTT CO. CENTRAL,4
MO,2922950,NORWOOD R-I,4
NY,3617520,LIVERPOOL CENTRAL SCHOOL DISTRICT,4
OK,4005340,BRAY-DOYLE,4
OK,4007500,CHEYENNE,4
OK,4009750,DEPEW,4
OK,4018270,LONE WOLF,4
OK,4027390,SEQUOYAH,4
OK,4027840,SMITHVILLE,4
OK,4030990,VARNUM,4
TN,4702910,Meigs County,4
TX,4815120,COOLIDGE ISD,4
TX,4815870,CROWELL ISD,4
TX,4820550,GEORGE WEST ISD,4
TX,4820760,GLADEWATER ISD,4
TX,4821270,GORMAN ISD,4
TX,4824120,IDALOU ISD,4
TX,4827810,LLANO ISD,4
TX,4828410,LOVELADY ISD,4
TX,4828530,LUEDERS-AVOCA ISD,4
TX,4831200,MONTAGUE ISD,4
TX,4832340,NEW BOSTON ISD,4
TX,4832490,NEW HOME ISD,4
TX,4832640,NEW WAVERLY ISD,4
TX,4833030,NORTH ZULCH ISD,4
TX,4844110,VERNON ISD,4
AL,0100011,Leeds City,3
AL,0100450,Brewton City,3
AL,0102880,Russell County,3
AR,0500076,OZARK MOUNTAIN SCHOOL DISTRICT,3
AR,0504020,WESTSIDE CONS. SCHOOL DISTRICT,3
AR,0505340,DIERKS SCHOOL DISTRICT,3
AR,0509840,MONTICELLO SCHOOL DISTRICT,3
AR,0511700,POTTSVILLE SCHOOL DISTRICT,3
AR,0514400,WOODLAWN SCHOOL DISTRICT,3
GA,1300150,Bacon County,3
GA,1301350,Coffee County,3
MS,2803390,OKOLONA SEPARATE SCHOOL DIST,3
MO,2904140,BAKERSFIELD R-IV,3
MO,2911010,SKYLINE R-II,3
MO,2921720,NAYLOR R-II,3
MO,2931230,RICHWOODS R-VII,3
OK,4003660,BATTIEST,3
OK,4007140,CENTRAL,3
OK,4010890,EMPIRE,3
OK,4014340,HENNESSEY,3
OK,4017850,LINDSAY,3
OK,4020640,MOYERS,3
OK,4027450,SHADY POINT,3
OK,4029100,STUART,3
OK,4029820,TEXHOMA,3
OK,4030450,TWIN HILLS,3
OK,4033603,BINGER-ONEY,3
TN,4701230,Fentress County,3
